model,melody,outputs,recognition
gpt2,6,但我心不再彷徨谁人/亦会将天空发放是你/不变的真心一起去/找心中信仰这里,愿我心不再彷徨谁人/意会将天空发放是你/不变的真心与崎岖/照心中信仰哲理
icomposer,6,今天都比条心的尽力/我的眼泪忍苦让你靠/我总有你病渐渐转/从来未放弃尝试,今天都比挑衅的经历/我的眼泪忍苦让你扛/我曾邀你并肩前川/从来未放弃城市
songnet,6,风吹到世间某个地方/没有悲伤也没有梦想/有时起风有时起浪/流浪有时起勇量,风吹到世界某个地方/没有悲伤也没有梦想/有时起风有时起浪/流浪又是信用量
ours,6,让梦的窗飘啊飘飘荡/带着梦去飞到蓝天上/让爱飞到处去飞翔/这世间来的地方,让梦的船飘啊飘飘荡/带着梦去飞到蓝天上/让爱飞到处去飞翔/这世界来的地方
human,6,世间有无数的人流浪/也有无数平凡的梦想/它们将在某个地方/夏花般恣意盛放,世间有无数的人流浪/也有无数平凡的梦想/他们将在某个地方/夏花般恣意盛放
3-height,6,为理想和为梦想奋斗/为什么还要面对世间/无论在何时何地里/徘徊和流浪之间,为理想和为梦想奋斗/为什么还要面对时间/无论在何时何地里/徘徊和流浪之间
5-height,6,勇敢的我执着和梦想/勇敢的我明白前世间/同一个神奇地方啊/你和我流浪相伴,勇敢的我执着和梦想/勇敢的我明白全世界/同一个神奇地方啊/你和我流浪相伴
4-height,6,寻找着属于执着追逐/才懂得远离繁华世间/同一个儿同一个啊/我和你流浪流浪,寻找着属于执着追逐/才懂得远离繁华世界/同一个而同一个啊/我和你流浪流浪
6-height,6,遥远的百年梦想来相/合我们走来来来来来/从前时地方的的的/有谁流浪到天边,遥远的百年梦想来想/和我们走来来来来来/从前是地方的德德/有谁流浪到天边
chatgpt,6,梦想如诗飞向天际追/世间沧海如梦幻般迷/这个世界太大无地/流浪的歌声伴我,梦想如是飞向天际追/世间沧海如梦幻般迷/这个世界太大无德/流浪的歌声伴我
gpt2,7,我想我不会再回首看/不到曾经的曾/经的幸福我会想起你/一个转身的离去,我想我不会再回首看/不到曾经的曾/经的幸福我会想起你/一个转身的离去
icomposer,7,曾经相信你在想什么/你是我的气候/曾经相信你在想什么/你别人生如此样,曾经相信你在想什么/你是我的气候/曾经相信你在想什么/你的人生如此样
songnet,7,是否我们都有了时间/人生如花非梦/每当阳光升起了天空/总会感到着心痛,是否我们都有了时间/人生如花非梦/每当阳光升起了天空/总会感到这心痛
ours,7,谁说出了一切的心痛/谁说出的爱错/谁说出了生命的天空/望着人海的闪烁,谁说出了一切的心痛/谁说出的爱错/谁说出了生命的天空/望着人海的闪烁
human,7,心痛而又上瘾的过程/被涂鸦为人生/时间打碎后再拼完整/比天更空的裂痕,心痛而又上瘾的过程/被涂鸦为人生/时间打碎后再拼完整/比天更空的裂痕
3-height,7,同一个太阳同个天空/留下心痛回忆/时间让爱从来没变迁/笑看别人笑我傻,同一个太阳同个天空/留下心痛回忆/时间让爱从来没变迁/笑看别人笑我傻
5-height,7,我要向天空祈求希望/掩饰心痛和难/我会用些时间来呵护/因为人生中的你,我要向天空祈求希望/掩饰心痛和难/我会用些时间来呵护/因为人生中的你
4-height,7,仰望天空翱翔和放纵/把心痛来折磨/我知道爱没随时间去/漫漫人生的路啊走,仰望天空翱翔和放纵/把心痛来折磨/我知道爱没随时间去/漫漫人生的路啊走
6-height,7,我看见天空下下下下/你不知心疼心/只是随时间过过过过/珍惜人生的美美美,我看见天空下下下下/你不知心疼心/只是随时间过过过过/珍惜人生的美美美
chatgpt,7,天空之蓝如诗唱花开/心痛伤情如泪/时间流逝如梦一场游/人生如梦行云水,天空之蓝如是场花开/心痛伤情如泪/时间流逝如梦一场游/人生如梦醒云睡
gpt2,8,当面分手不需要理/由只需要眼神互补/无论什么原因彼此/都认为温柔无论什么原,当面分手不需要理/由只需要眼神互补/无论什么原因彼此/都认为温柔无论什么圆
icomposer,8,万世流干替我大限/如像你对我好张走/万世流干替我大限/他朝生命像旧衣贴座祸,万事流干替我打线/如像你对我好丈夫/万事流干替我打线/他朝圣冥想就已贴错货
songnet,8,感情的所在值回味/我不会再让你伤心/爱人总是为难自己/所以你总是对我说抱歉,感情的锁再次回味/我不会再让你伤心/爱人总是为难自己/所以你总是对我说抱歉
ours,8,谁的脸在别人背后/谁的吻在别人记忆/谁的眼在含愁伤心/忘了吧我的心是种负担,谁的脸在别人背后/谁的吻在别人记忆/谁的眼在喊出伤心/忘了吧我的心是种负担
human,8,我们被存储的记忆/由爱人来复制伤心/值得赞颂可歌可泣/凝视培养皿之中的感情,我们被存出的记忆/由爱人来复制伤心/值得赞颂可歌可泣/凝视培养命之中的感情
3-height,8,留下伤心的我来陪/哦爱啊爱啊啊爱人/曾经有过的感情浓/那些年的记忆如此斑驳,留下伤心的我来陪/哦爱啊爱啊啊爱人/曾经有过的感情浓/那些年的记忆如此斑驳
5-height,8,掩盖了伤心的情感/等待着他们的爱人/毁灭了他们的感情/成为我的童年我的童年,掩盖了伤心的情感/等待着他们的爱人/毁灭了他们的感情/成为我的童年我的童年
4-height,8,掩饰着人们的惶恐/想念着咱们的爱人/考验着人们的感情/童年里的童年你的童年,掩饰着人们的惶恐/想念着咱们的爱人/考验着人们的感情/童年里的童年里的童年
6-height,8,感受着伤心心心心/想念着身边的爱人/搅搅搅搅搅搅搅搅/从遥遥遥远的童年的童,感受着伤心心心心/想念着身边的爱人/叫叫叫叫叫叫叫叫/从遥遥遥远的童年的痛
chatgpt,8,伤心如海深泪满梦/爱人如画中的风景/感情如诗美像画面/记忆像画面前展翅翼飞,伤心如海深泪满目/爱人如画中的风景/感情如诗美像画面/记忆像画面前展翅已飞
gpt2,9,只是怕失去所以用了/心只有我们自己能发/现爱的甜美才了解原来/幸福也会变成失去就这样,只是怕失去所以用了/心只有我们自己能发/现爱的甜美裁了些原来/幸福也会变成失去就这样
icomposer,9,生命里都是说了无害/心里也变得盲目内憔/心中想到这个不再变理/相爱的梦意怎么都能相逢,生命里都是说了无害/心里也变得盲目内疚/心中想到这个不再便利/相爱的梦里怎么都能相逢
songnet,9,是因为爱习惯要分开/也许是孤单也是寂寞/所以我不该爱你没勇气/保持一份情人的甜蜜滋味,是因为爱习惯要分开/也许是孤单也是寂寞/所以我不该爱你没勇气/保持一份情人的甜蜜滋味
ours,9,忘了你是非也是滋味/忘了你是非太是伤悲/忘了忘了忘了痛的自由/没的没的泪习惯哭的作罢,忘了你是非也是滋味/忘了你是非它是伤悲/忘了忘了忘了痛的自由/美的美的泪习惯哭的作罢
human,9,喝杯你习惯点的咖啡/终于品到些理解滋味/好情人捉对坏情人作对/还缺勇气递送下一段机会,喝杯你习惯点的咖啡/终于品到些零些滋味/好情人说对坏情人错对/还缺勇气递送下一段机会
3-height,9,是什么习惯了没有了/离别的滋味谁能明白/不知何时情人能团圆吗/没钱没车没车没勇气回头,是什么习惯了没有了/离别的滋味谁能明白/不知何时亲人能团圆吗/没钱没车没车没勇气回头
5-height,9,多年的习惯有你懂得/孤独的滋味谁能承担/就算今生无缘成为情人/有谁没勇气面对面对分离,多年的习惯有你懂的/孤独的滋味谁能承担/就算今生无缘成为情人/有谁没勇气面对面对分离
4-height,9,幸福的习惯你改改吧/缠绵的滋味谁能明白/做个情人其实还没什么/把执着当作是那份勇气无,幸福的习惯你改改吧/缠绵的滋味谁能明白/做个情人其实还没什么/把执着当作是那份勇气舞
6-height,9,身边的人人人人人人/分离的滋味难分清清/不知身边情人何时才能/我还没够勇气说出来来来,身边的人人人人人人/分离的滋味难分清清/不知身边情人何时才能/我还没够勇气说出来来来
chatgpt,9,习惯如影随心间飘游/滋味如歌伴我走远处/情人如画画中诗诗梦游/勇气如火火烧烧星星辉辉,空空空空你心间飘游/滋味如歌伴我走远处/情人如画画中时时梦游/勇气如火火烧烧星星灰灰
gpt2,10,碰巧我和你相恋终生不/会忘记让我们牵手把爱/留在心底我和你相恋/终生不想放弃把,碰巧我和你相恋终生不/会忘记让我们牵手把爱/留在心底我和你相恋/终生不想放弃吧
icomposer,10,不要被想留对我的声音/也至少特别日日更凉意/你也许会因我没自己/你总在这夜似过,不要被强留对我的呻吟/也至少特别日日更靓丽/你也许会因我没自己/你总在这夜死过
songnet,10,美丽的青春被剪断的线/故事里的故事慢慢消失/在这个无谓的命运里/是否有新的开始,美丽的青春被剪断的线/故事里的故事慢慢消失/在这个无谓的命运里/是否有新的开始
ours,10,对啊人的故事是大运行/对啊人的故事是男子汉/对啊人付出是大青春/赚钱就会好美丽,对啊人的故事是大运行/对啊人的故事是男子汉/对啊人付出是大青春/赚钱就会好美丽
human,10,叙爱诗落在咬红的唇心/她低垂的眼比落叶静谧/将故事自少年人翻起/从何抽身于命运,雨爱是落在摇红的唇形/它低垂的眼底落叶静谧/将故事似少年人翻起/从何抽身于凌云
3-height,10,所有昨天关于未来故事/谁以为青春能换来幸福/留给昨天让美丽复活/为何命运这么难,所有昨天关于未来故事/谁以为青春能换来幸福/留给昨天让美丽复活/为何命运这么难
5-height,10,我们有关于从前和如今/我的眼泪没有没有青春/你的美丽迷失在心里/终于听命运的言,我们有关于从前和如今/我的眼泪没有没有青春/你的美丽迷失在心里/终于听命运的言
4-height,10,你的故事从来没别人的/有了你生活也无悔青春/你的美丽还在不在前/是谁是命运的船,你的故事从来没别人的/有了你生活也无悔/青春你的美丽还在不在前/是谁是命运的船
6-height,10,我们俩之间聊聊聊聊聊/聊聊聊聊聊聊聊聊聊聊/你的美丽消失在天涯/当时间是命运的,我们俩之间聊聊聊聊聊/聊聊聊聊聊聊聊聊聊聊/你的美丽消失在天涯/当时间是命运的
chatgpt,10,故事像诗诗歌歌韵韵悠/青春如歌歌舞舞蓝天辽/美丽似花花绽绽天天/命运如星光点缀,不是想时时刻刻云云游/青春如歌歌舞舞暂停留/美丽似花花真真甜甜/命运如星光点缀
